Jahr;Monat;Branche_Code;Branche_Label;Umsatz;Veraenderung
2018;2;WZ08-563;Bars & Clubs;85.2;-1.4
2018;3;WZ08-55;Beherbergung;98.7;0.3
2018;3;WZ08-551;Hotels;99.9;-0.6
2018;3;WZ08-552;Ferienunterkünfte;83.6;13
2018;3;WZ08-553;Campingplätze;90.5;16.8
2018;3;WZ08-56;Gastronomie;103;1.2
2018;3;WZ08-561;Restaurants & Cafes;103.4;2.7
2018;3;WZ08-562;Caterer;104.6;-3.5
2018;3;WZ08-563;Bars & Clubs;95.6;1.7
2018;4;WZ08-55;Beherbergung;107.8;8.5
2018;4;WZ08-551;Hotels;108.8;10.2
2018;4;WZ08-552;Ferienunterkünfte;89.6;-5.1
2018;4;WZ08-553;Campingplätze;124;-12.8
2018;4;WZ08-56;Gastronomie;108.8;4.3
2018;4;WZ08-561;Restaurants & Cafes;111.4;4
2018;4;WZ08-562;Caterer;103.6;7.4
2018;4;WZ08-563;Bars & Clubs;100.7;-0.4
2018;5;WZ08-55;Beherbergung;115.6;-3.8
2018;5;WZ08-551;Hotels;115;-5.1
2018;5;WZ08-552;Ferienunterkünfte;114;4.8
2018;5;WZ08-553;Campingplätze;146;33.3
2018;5;WZ08-56;Gastronomie;114.7;3.4
2018;5;WZ08-561;Restaurants & Cafes;118.9;5.6
2018;5;WZ08-562;Caterer;105.1;-3.2
2018;5;WZ08-563;Bars & Clubs;105.7;2.6
2018;6;WZ08-55;Beherbergung;123.6;6.6
2018;6;WZ08-551;Hotels;123.3;7.7
2018;6;WZ08-552;Ferienunterkünfte;121;-3
2018;6;WZ08-553;Campingplätze;143.5;-4.4
2018;6;WZ08-56;Gastronomie;115.5;2.7
2018;6;WZ08-561;Restaurants & Cafes;115.8;1
2018;6;WZ08-562;Caterer;117;8.1
2018;6;WZ08-563;Bars & Clubs;107.9;3.1
2018;7;WZ08-55;Beherbergung;123.9;2.6
2018;7;WZ08-551;Hotels;120.4;2.5
2018;7;WZ08-552;Ferienunterkünfte;142.3;-2.5
2018;7;WZ08-553;Campingplätze;221.8;17.5
2018;7;WZ08-56;Gastronomie;118.6;1.8
2018;7;WZ08-561;Restaurants & Cafes;123.3;1.8
2018;7;WZ08-562;Caterer;109.3;5.1
2018;7;WZ08-563;Bars & Clubs;104.6;-4.5
2018;8;WZ08-55;Beherbergung;123;5.5
2018;8;WZ08-551;Hotels;119.7;6
2018;8;WZ08-552;Ferienunterkünfte;140.6;-3.5
2018;8;WZ08-553;Campingplätze;219.4;12.9
2018;8;WZ08-56;Gastronomie;117.5;4
2018;8;WZ08-561;Restaurants & Cafes;121.7;3.8
2018;8;WZ08-562;Caterer;106.6;4.9
